| Precursor             | Substrate | Temperature | Products                    | Dimensions |
|-----------------------|-----------|-------------|-----------------------------|------------|
| Silylated alkynes     | Ag(111)   | N/A         | Terminal alkynes, silyl esters | N/A        |
| Aromatic carboxylic acids | Au(111)   | N/A         | Covalent polymers           | N/A        |

| Precursor   | Substrate | Temperature | Products     | Dimensions |
|-------------|-----------|-------------|--------------|------------|
| N/A         | Metal     | UHV         | N/A          | N/A        |

| Precursor      | Substrate | Temperature | Products | Dimensions |
|----------------|-----------|-------------|----------|------------|
| Silylated alkynes | Au(111) and Cu(111) surfaces | N/A | Inherently unstable molecules | N/A |

| Precursor                                    | Substrate                                  | Temperature | Products               | Dimensions |
|----------------------------------------------|-----------------------------------------|-------------|-----------------------|------------|
| 6,13-bis((trimethylsilyl)ethynyl)-pentacene | Ag(111)                                   | 155 °C      | 6,13-bis(ethynyl)pentacene | N/A        |
| persilylated hexaethynylbenzene 3            | Ag(111)                                   | RT          | N/A                   | N/A        |

| Precursor              | Substrate | Temperature | Products | Dimensions |
|------------------------|-----------|-------------|----------|------------|
| NDCA and 3             | Au(111)   | N/A         | N/A      | N/A        |
| NDCA and 3             | Cu(111)   | Low efficiency on Cu(111) surface | N/A | N/A |
| 3 (silyl deprotection) | Noble metal substrates | N/A | Clean self-assembly structures of 4 failed | N/A |

